Type,Item Group Name,Item Name,Item Code,Position Strategy Allocation,Item Phase,Inventory Type,Stock In,Warehouse,Zone,Intake Date,Batch No.,Instrction/Process No,Process Name,Outturn No,Grower Marks,Stock In Day(s),Bags,Pockets,Units,Packing Type,Qty.,UOM,Blocked,LB No.,Block Against Collateral/STI,SO No.,PO No.,Supplier,Supplier Address,Certification,Outturn / Factor	,Warrant No
PIL,WASHED ARABICA,ABOVE SCREEN 15,ABOVE SCREEN 15,IN GRINDER BOLD,Intermediate,2024 / 2025,,KAHAWA BORA WAREHOUSE,O-03-1,,RG-00241-ABOVE SCREEN 15,CS-00805,COLOUR SORTING,RG-00241,,,73,58.60,74,60 KG JUTE BAG,4438.60,Kg,No,, ,,,,,,,
PIL,WASHED ARABICA,ABOVE SCREEN 15,ABOVE SCREEN 15,IN GRINDER BOLD,Intermediate,2024 / 2025,,KAHAWA BORA WAREHOUSE,P-02-1,,RG-00244-ABOVE SCREEN 15,CS-00807,COLOUR SORTING,RG-00244,,,65,27.60,66,60 KG JUTE BAG,3927.60,Kg,No,, ,,,,,,,
PIL,WASHED ARABICA,ABOVE SCREEN 15,ABOVE SCREEN 15,IN GRINDER BOLD,Intermediate,2024 / 2025,,KAHAWA BORA WAREHOUSE,P-03-1,,RG-00243-ABOVE SCREEN 15,CS-00806,COLOUR SORTING,RG-00243,,,65,46.60,66,60 KG JUTE BAG,3946.60,Kg,No,, ,,,,,,,
PIL,WASHED ARABICA,BELOW SCREEN 15,BELOW SCREEN 15,IN GRINDER BOLD,Intermediate,2024 / 2025,,KAHAWA BORA WAREHOUSE,O-08-1,,RG-00236-BELOW SCREEN 15,RG-00270,REGRADING,RG-00236,,,44,29.50,45,60 KG JUTE BAG,2669.50,Kg,No,, ,,,,,,,
PIL,WASHED ARABICA,BELOW SCREEN 15,BELOW SCREEN 15,IN GRINDER BOLD,Intermediate,2024 / 2025,,KAHAWA BORA WAREHOUSE,P-04-1,,RG-00239-BELOW SCREEN 15,RG-00271,REGRADING,RG-00239,,,47,58.90,49,60 KG JUTE BAG,2878.90,Kg,No,, ,,,,,,,
PIL,WASHED ARABICA,BELOW SCREEN 15,BELOW SCREEN 15,IN GRINDER BOLD,Intermediate,2024 / 2025,,KAHAWA BORA WAREHOUSE,P-08-1,,RG-00234-BELOW SCREEN 15,RG-00269,REGRADING,RG-00234,,,45,36.60,46,60 KG JUTE BAG,2736.60,Kg,No,, ,,,,,,,
PIL,WASHED ARABICA,BELOW SCREEN 15,BELOW SCREEN 15,IN GRINDER BOLD,Intermediate,2024 / 2025,,KAHAWA BORA WAREHOUSE,P-10-1,,RG-00241-BELOW SCREEN 15,RG-00273,REGRADING,RG-00241,,,58,47.90,59,60 KG JUTE BAG,3527.90,Kg,No,, ,,,,,,,
PIL,WASHED ARABICA,BELOW SCREEN 15,BELOW SCREEN 15,IN GRINDER BOLD,Intermediate,2024 / 2025,,KAHAWA BORA WAREHOUSE,P-10-1,,RG-00244-BELOW SCREEN 15,RG-00275,REGRADING,RG-00244,,,48,42.90,49,60 KG JUTE BAG,2922.90,Kg,No,, ,,,,,,,
PIL,WASHED ARABICA,BELOW SCREEN 15,BELOW SCREEN 15,IN GRINDER BOLD,Intermediate,2024 / 2025,,KAHAWA BORA WAREHOUSE,P-11-1,,RG-00240-BELOW SCREEN 15,RG-00272,REGRADING,RG-00240,,,46,7.70,47,60 KG JUTE BAG,2767.70,Kg,No,, ,,,,,,,
PIL,WASHED ARABICA,BELOW SCREEN 15,BELOW SCREEN 15,IN GRINDER BOLD,Intermediate,2024 / 2025,,KAHAWA BORA WAREHOUSE,P-11-1,,RG-00243-BELOW SCREEN 15,RG-00274,REGRADING,RG-00243,,,44,20.50,45,60 KG JUTE BAG,2660.50,Kg,No,, ,,,,,,,
